Mutation Operators,Pre-trained Code Embedding,Fine-tuned Code Embedding,Zero-shot Prompting,Few-shot Prompting,Fine-tuning with Instruction
AOIS,86.41304347826086 (318/368),92.11956521739131 (339/368),69.02173913043478 (254/368),67.11956521739131 (247/368),86.41304347826086 (318/368)
ROR,91.27906976744185 (314/344),91.27906976744185 (314/344),74.70930232558139 (257/344),84.30232558139535 (290/344),92.15116279069767 (317/344)
AORB,94.37086092715232 (285/302),95.03311258278146 (287/302),87.74834437086093 (265/302),88.41059602649007 (267/302),94.37086092715232 (285/302)
VDL,92.65536723163842 (164/177),92.65536723163842 (164/177),77.96610169491525 (138/177),92.09039548022598 (163/177),92.65536723163842 (164/177)
ROD,92.3076923076923 (156/169),92.3076923076923 (156/169),78.10650887573965 (132/169),91.12426035502959 (154/169),92.3076923076923 (156/169)
AOIU,96.15384615384616 (100/104),96.15384615384616 (100/104),88.46153846153845 (92/104),96.15384615384616 (100/104),94.23076923076923 (98/104)
LOI,100.0 (103/103),100.0 (103/103),98.05825242718447 (101/103),100.0 (103/103),100.0 (103/103)
CDL,90.0 (90/100),90.0 (90/100),73.0 (73/100),87.0 (87/100),90.0 (90/100)
CR,96.82539682539682 (61/63),96.82539682539682 (61/63),84.12698412698413 (53/63),92.06349206349206 (58/63),95.23809523809523 (60/63)
SEOD,84.0 (42/50),84.0 (42/50),90.0 (45/50),84.0 (42/50),84.0 (42/50)
SEOI,100.0 (37/37),100.0 (37/37),59.45945945945946 (22/37),100.0 (37/37),100.0 (37/37)
ADL,100.0 (34/34),100.0 (34/34),73.52941176470588 (25/34),91.17647058823529 (31/34),100.0 (34/34)
ISDL,100.0 (20/20),100.0 (20/20),90.0 (18/20),90.0 (18/20),100.0 (20/20)
COR,68.42105263157895 (13/19),68.42105263157895 (13/19),68.42105263157895 (13/19),68.42105263157895 (13/19),68.42105263157895 (13/19)
FCDL,94.73684210526315 (18/19),94.73684210526315 (18/19),52.63157894736842 (10/19),78.94736842105263 (15/19),94.73684210526315 (18/19)
SEOR,100.0 (15/15),100.0 (15/15),86.66666666666667 (13/15),100.0 (15/15),93.33333333333333 (14/15)
AODU,80.0 (8/10),80.0 (8/10),80.0 (8/10),80.0 (8/10),70.0 (7/10)
AORS,100.0 (9/9),100.0 (9/9),100.0 (9/9),88.88888888888889 (8/9),100.0 (9/9)
ABSI,100.0 (9/9),100.0 (9/9),0.0 (0/9),33.33333333333333 (3/9),100.0 (9/9)
SAR,100.0 (8/8),100.0 (8/8),100.0 (8/8),100.0 (8/8),100.0 (8/8)
WLDL,100.0 (6/6),100.0 (6/6),83.33333333333334 (5/6),100.0 (6/6),100.0 (6/6)
LOR,100.0 (4/4),100.0 (4/4),100.0 (4/4),100.0 (4/4),100.0 (4/4)
OSDL,100.0 (4/4),100.0 (4/4),100.0 (4/4),100.0 (4/4),100.0 (4/4)
FLDL,100.0 (4/4),100.0 (4/4),100.0 (4/4),100.0 (4/4),100.0 (4/4)
AODS,100.0 (3/3),100.0 (3/3),66.66666666666666 (2/3),100.0 (3/3),100.0 (3/3)
LVR,100.0 (3/3),100.0 (3/3),100.0 (3/3),100.0 (3/3),100.0 (3/3)
SOR,100.0 (2/2),100.0 (2/2),100.0 (2/2),100.0 (2/2),100.0 (2/2)
ORU,100.0 (1/1),100.0 (1/1),100.0 (1/1),100.0 (1/1),100.0 (1/1)
